causal,batch,h,n_ctx_q,n_ctx,d,total_programs,init_dtype,BLOCK_M,BLOCK_N,waves_per_eu,num_warps,Triton(ms)
False,2,64,16,"[65536, 65536]",128,912,torch.float16,16,128,2,4,1.375176
False,1,64,16,[131072],128,912,torch.float16,16,128,2,4,1.321135
False,1,64,16,[262144],64,912,torch.float16,16,64,2,4,1.280514
False,1,64,16,[524288],64,912,torch.float16,16,64,2,4,2.412006
False,2,96,16,"[32768, 32768]",128,912,torch.float16,16,128,2,4,0.997812
False,1,96,16,[65536],128,912,torch.float16,16,128,2,4,0.992805
False,1,96,16,[131072],128,912,torch.float16,16,128,2,4,1.905809
False,1,96,16,[262144],64,912,torch.float16,16,64,2,4,1.901643
False,1,96,16,[524288],16,912,torch.float16,16,256,1,4,3.425400
False,1,96,16,[1048576],16,912,torch.float16,16,256,1,4,6.830932
False,1,128,16,[32768],128,912,torch.float16,16,128,2,4,0.708659
False,1,128,16,[65536],128,912,torch.float16,16,128,2,4,1.345771
False,1,128,16,[131072],128,912,torch.float16,16,128,2,4,2.633857
False,1,128,16,[262144],64,912,torch.float16,16,64,2,4,2.506186
False,1,128,16,[524288],16,912,torch.float16,16,256,1,4,5.451870
False,3,64,16,"[4096, 32768, 65536]",128,912,torch.float16,16,128,2,4,1.033706
False,8,64,16,"[1024, 1024, 2048, 2048, 4096, 4096, 32768, 65536]",128,912,torch.float16,16,128,2,4,1.119353
True,1,64,8192,[8192],128,304,torch.float16,128,64,1,4,4.401460
True,2,64,2048,"[2048, 2048]",128,304,torch.float16,128,64,1,4,0.631223
